Script,Sampling Frequency (Hz),Iteration,Execution Time (s),Peak Memory Usage (MiB),Average Memory Usage (MiB)
simulink,2385,82,15.91732907295227,2885.453125,2279.1551926691727
simulink,2385,83,15.67177700996399,3107.359375,2365.0450721153848
simulink,2385,84,16.166403770446777,3030.671875,2350.6377314814813
simulink,2385,85,16.68805193901062,2835.03125,2266.331295289855
simulink,2385,86,15.99247932434082,2787.90625,2245.334872159091
simulink,2385,87,19.038321256637573,2882.890625,2301.239227484472
simulink,2385,88,23.683500051498413,2706.828125,2083.953125
simulink,2385,89,21.95316791534424,2677.96875,2107.7651957417584
simulink,2385,90,21.84170389175415,2609.90625,2039.8817334254143
simulink,2385,91,20.247863054275513,2732.953125,2126.429178994083
simulink,2385,92,19.20299482345581,2667.8125,2085.0696816770187
simulink,2385,93,18.990838050842285,2722.15625,2127.8389347484276
simulink,2385,94,17.775502681732178,2663.046875,2150.627639358108
simulink,2385,95,17.270509958267212,2780.1875,2166.136237157534
simulink,2385,96,18.310168981552124,2730.703125,2164.498387096774
simulink,2385,97,18.182667016983032,2644.0625,2114.817009228188
simulink,2385,98,19.169121980667114,2734.21875,2163.573674841772
simulink,2385,99,17.00459098815918,2750.15625,2084.4060267857144
simulink,2385,100,15.7854483127594,3045.71875,2396.839015151515
simulink,5689,1,18.647141933441162,2750.296875,2207.5548349056603
simulink,5689,2,18.897315979003906,2678.8125,2268.886937111801
simulink,5689,3,20.570202827453613,2712.6875,2187.8802688953488
simulink,5689,4,19.465730905532837,2758.03125,2170.3114390432097
simulink,5689,5,18.119481086730957,2779.546875,2256.026654411765
simulink,5689,6,17.75823473930359,2765.890625,2207.694735738255
simulink,5689,7,18.89843773841858,2768.28125,2183.836281446541
simulink,5689,8,19.23814082145691,2811.1875,2211.1521226415093
simulink,5689,9,18.611407995224,2859.8125,2219.9226140202704
simulink,5689,10,18.2592830657959,2759.140625,2147.4752859477126
simulink,5689,11,18.4682297706604,2757.859375,2253.5576612903224
simulink,5689,12,18.00798797607422,2817.5,2210.7503104304637
simulink,5689,13,18.029391050338745,2782.640625,2243.2972861842104
simulink,5689,14,18.503208875656128,2706.140625,2113.7868232484075
simulink,5689,15,18.57291889190674,2803.015625,2149.6417267628203
simulink,5689,16,16.947842121124268,2788.046875,2249.111328125
simulink,5689,17,17.561573028564453,2777.8125,2289.140520134228
simulink,5689,18,17.601784229278564,2838.25,2251.3400796979868
simulink,5689,19,15.39576005935669,3053.25,2383.9490067829456
simulink,5689,20,17.53064227104187,2757.71875,2185.0310402684563
simulink,5689,21,17.81672978401184,2786.53125,2216.6791735197367
simulink,5689,22,16.094465970993042,3061.125,2382.3375459558824
simulink,5689,23,16.60099196434021,2794.890625,2280.9268617021276
simulink,5689,24,17.076794147491455,2749.796875,2277.5696120689654
simulink,5689,25,16.199153184890747,2828.03125,2287.5653512773724
simulink,5689,26,16.996155977249146,2780.109375,2255.142701048951
simulink,5689,27,17.667487859725952,2800.9375,2230.0592708333334
simulink,5689,28,18.534999132156372,2728.078125,2294.2855738993712
simulink,5689,29,18.63718867301941,2781.671875,2291.423447327044
simulink,5689,30,18.022310256958008,2705.296875,2130.984788907285
simulink,5689,31,17.159975051879883,2756.8125,2258.5427517361113
simulink,5689,32,16.88867998123169,2845.40625,2288.4489140070923
simulink,5689,33,16.25883388519287,2842.96875,2255.802619485294
simulink,5689,34,15.843016862869263,2765.390625,2209.768702651515
simulink,5689,35,16.933717012405396,3027.5,2353.0401005244757
simulink,5689,36,16.32298517227173,3091.40625,2370.664803832117
simulink,5689,37,17.19159698486328,2739.734375,2277.8997217465753
simulink,5689,38,18.766000032424927,2735.625,2267.0629944620255
simulink,5689,39,18.60713481903076,2776.109375,2240.8820660828023
simulink,5689,40,17.971953868865967,2839.21875,2306.780836092715
simulink,5689,41,16.651113986968994,2926.25,2335.192410714286
simulink,5689,42,16.79844832420349,2840.609375,2293.9125220070423
simulink,5689,43,17.656291961669922,2783.96875,2281.5622902684563
simulink,5689,44,17.210297107696533,2821.859375,2307.26875
simulink,5689,45,16.639121770858765,2763.828125,2229.7535714285714
simulink,5689,46,17.514127254486084,2780.9375,2283.436330782313
simulink,5689,47,17.66867995262146,2753.734375,2221.9465348639455
simulink,5689,48,17.213468074798584,2793.6875,2225.6168619791665
simulink,5689,49,17.06339192390442,2784.78125,2277.722222222222
simulink,5689,50,17.407984018325806,2790.09375,2262.0029560810813
simulink,5689,51,15.314441204071045,2818.71875,2271.41796875
simulink,5689,52,15.687598943710327,2893.5,2250.4979723282445
simulink,5689,53,15.722700119018555,3061.265625,2353.5085877862593
simulink,5689,54,16.453557014465332,2877.78125,2252.1409671532847
simulink,5689,55,16.24105191230774,3019.40625,2358.612037037037
simulink,5689,56,15.798431873321533,2786.125,2258.2213541666665
simulink,5689,57,17.300781726837158,2834.71875,2282.720462328767
simulink,5689,58,16.707393169403076,2983.125,2327.9393973214287
simulink,5689,59,19.494044303894043,2799.703125,2228.566025152439
simulink,5689,60,17.829811811447144,2826.015625,2184.186862244898
simulink,5689,61,16.823873043060303,2821.390625,2217.741294642857
simulink,5689,62,17.715528964996338,2816.65625,2259.2251468120803
simulink,5689,63,17.828026056289673,2750.65625,2171.64497102649
simulink,5689,64,17.76625919342041,2799.1875,2276.6222061258277
simulink,5689,65,18.480019092559814,2743.359375,2237.2049050632913
simulink,5689,66,17.2482430934906,2783.546875,2241.991973458904
simulink,5689,67,17.63592290878296,2786.359375,2201.13947147651
simulink,5689,68,17.399749994277954,2780.171875,2215.808433219178
simulink,5689,69,18.242056846618652,2750.875,2163.4543504901962
simulink,5689,70,19.077888011932373,2789.609375,2238.2939814814813
simulink,5689,71,17.411460161209106,2756.1875,2183.5516909246576
simulink,5689,72,18.626365900039673,2781.484375,2221.631810897436
simulink,5689,73,17.433897972106934,2808.78125,2212.5784460616437
simulink,5689,74,17.620565176010132,2815.734375,2276.268351510067
simulink,5689,75,16.06865096092224,2841.8125,2225.199510261194
simulink,5689,76,16.794315099716187,2744.359375,2190.6176339285716
simulink,5689,77,16.0413818359375,2999.78125,2352.812384259259
simulink,5689,78,15.88038682937622,2820.234375,2198.944951923077
simulink,5689,79,16.58550214767456,2766.671875,2200.2340401785714
simulink,5689,80,16.26548480987549,2922.15625,2295.124885110294
simulink,5689,81,16.72207522392273,2849.296875,2271.5409598214287
simulink,5689,82,18.128960847854614,2738.78125,2270.0309395695363
simulink,5689,83,20.132289171218872,2708.265625,2182.9913091715975
simulink,5689,84,19.251695156097412,2709.421875,2183.8732421875
simulink,5689,85,17.751626014709473,2784.921875,2191.0445679530203
simulink,5689,86,17.561217069625854,2785.171875,2287.288634417808
simulink,5689,87,17.622577905654907,2791.8125,2218.5114795918366
simulink,5689,88,17.398571968078613,2790.078125,2230.0611087328766
simulink,5689,89,17.028975248336792,2769.765625,2206.4611545138887
simulink,5689,90,18.145304918289185,2771.25,2256.4639501633987
simulink,5689,91,17.474120140075684,2743.375,2191.6315901360545
simulink,5689,92,17.122761964797974,2803.71875,2267.608940972222
simulink,5689,93,17.513465881347656,2778.671875,2231.5661703020132
simulink,5689,94,18.638916969299316,2774.203125,2246.394877373418
simulink,5689,95,17.28261399269104,2764.203125,2163.8849031690143
simulink,5689,96,17.481035232543945,2820.15625,2218.175701530612
simulink,5689,97,17.38484001159668,2763.28125,2228.914490582192
simulink,5689,98,17.135399103164673,2817.984375,2190.0720905172416
simulink,5689,99,16.295974016189575,2806.40625,2256.3722627737225
simulink,5689,100,18.548815965652466,2803.125,2230.559713375796
simulink,13572,1,18.910205841064453,2757.765625,2190.177483974359
simulink,13572,2,18.04940176010132,2800.765625,2225.4478125
simulink,13572,3,17.89917016029358,2804.25,2174.4807046979868
simulink,13572,4,17.82645320892334,2807.0,2243.0340438741723
simulink,13572,5,18.606657028198242,2761.34375,2248.63531650641
simulink,13572,6,19.103345155715942,2769.328125,2252.335597826087
simulink,13572,7,17.433817148208618,2843.09375,2229.276801215278
simulink,13572,8,20.176143884658813,2769.0625,2130.0070447976877
simulink,13572,9,18.626001834869385,2870.234375,2220.841720779221
simulink,13572,10,16.66526222229004,2821.109375,2289.059729609929
simulink,13572,11,17.158697366714478,2825.578125,2274.7737068965516
simulink,13572,12,16.78276562690735,3006.421875,2369.923085387324
simulink,13572,13,17.078464031219482,2785.90625,2281.586371527778
simulink,13572,14,16.65512490272522,2773.265625,2263.998089028777
simulink,13572,15,16.571247816085815,2792.15625,2266.47684352518
simulink,13572,16,17.305222749710083,2788.875,2247.1179956896553
simulink,13572,17,19.20356822013855,2718.125,2146.646055640244
simulink,13572,18,19.323045015335083,2706.75,2175.372685185185
simulink,13572,19,19.362468719482422,2668.40625,2163.2753067484664
simulink,13572,20,19.361154079437256,2778.640625,2173.786361882716
simulink,13572,21,18.938661098480225,2820.140625,2236.5696202531644
simulink,13572,22,17.67098093032837,2778.078125,2215.7244412251657
simulink,13572,23,18.5275981426239,2727.3125,2191.013236464968
simulink,13572,24,17.234935998916626,2793.265625,2268.372612847222
simulink,13572,25,17.75533699989319,2787.421875,2305.073125
simulink,13572,26,17.102406978607178,2729.84375,2224.0652126736113
simulink,13572,27,15.989483833312988,3050.46875,2386.7575231481483
simulink,13572,28,15.991340160369873,2984.5,2332.579057835821
simulink,13572,29,16.438583850860596,2823.171875,2240.836106115108
simulink,13572,30,17.09122586250305,2750.34375,2190.615948275862
simulink,13572,31,17.34822106361389,2799.0625,2221.1789484797296
simulink,13572,32,17.14992070198059,2805.203125,2267.852204623288
simulink,13572,33,16.949058055877686,2789.234375,2303.2782998251746
simulink,13572,34,18.25423789024353,2800.953125,2218.429233870968
simulink,13572,35,17.07665205001831,2849.125,2313.941156914894
simulink,13572,36,16.55037784576416,2853.1875,2222.0537320143885
simulink,13572,37,17.764101028442383,2768.71875,2153.837626689189
simulink,13572,38,17.9398410320282,2621.171875,2150.552425986842
simulink,13572,39,18.949193954467773,2774.15625,2228.160868710692
simulink,13572,40,18.7643301486969,2784.375,2213.40585443038
simulink,13572,41,18.301687955856323,2732.890625,2228.0711693548387
simulink,13572,42,17.883737087249756,2738.828125,2200.782291666667
simulink,13572,43,19.547255039215088,2693.671875,2192.6240643712576
simulink,13572,44,20.407590866088867,2775.953125,2122.4976102941177
simulink,13572,45,19.148386001586914,2757.515625,2201.6637141719743
simulink,13572,46,19.022806882858276,2784.921875,2223.0763449367087
simulink,13572,47,18.94748091697693,2784.984375,2240.92147943038
simulink,13572,48,18.414877891540527,2751.640625,2229.5572916666665
simulink,13572,49,16.88444423675537,2971.4375,2332.832746478873
simulink,13572,50,18.33881378173828,2714.296875,2040.8830180921052
simulink,13572,51,17.392534971237183,2757.078125,2148.937169894366
simulink,13572,52,17.706263065338135,2778.796875,2270.9392708333335
simulink,13572,53,18.376327991485596,2783.640625,2243.2079326923076
simulink,13572,54,18.849359035491943,2788.9375,2283.4794614779876
simulink,13572,55,18.27178692817688,2777.484375,2239.3663651315787
simulink,13572,56,17.369296073913574,2816.875,2231.5593112244896
simulink,13572,57,16.247422218322754,2769.671875,2230.9272748161766
simulink,13572,58,16.733093976974487,2802.6875,2219.0301339285716
simulink,13572,59,19.138098001480103,2785.90625,2216.9763695987654
simulink,13572,60,19.548053979873657,2755.296875,2208.8772590361446
simulink,13572,61,18.540229320526123,2790.6875,2190.8188920454545
simulink,13572,62,18.09351921081543,2788.328125,2280.2928921568628
simulink,13572,63,18.195237159729004,2753.984375,2218.205864448052
simulink,13572,64,19.4388370513916,2713.140625,2234.586413871951
simulink,13572,65,18.214223861694336,2699.796875,2150.6447916666666
simulink,13572,66,18.075933933258057,2800.25,2239.597039473684
